product_id,product_name,category,sub_category
FUR-BO-10001798,"Bush Somerset Collection Bookcase",Furniture,Bookcases
FUR-BO-10004834,"O'Sullivan Plantations 2-Door Library",Furniture,Bookcases
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs",Furniture,Chairs
FUR-CH-10004218,"Global Adaptabilities Executive Chair",Furniture,Chairs
FUR-FU-10001487,"Eldon Expressions Punched Metal & Wood Folders",Furniture,Furnishings
FUR-FU-10004158,"Seth Thomas Clock (Set of 6)",Furniture,Furnishings
FUR-TA-10000577,"Bretford CR4500 Series Slim Rectangular Table",Furniture,Tables
FUR-TA-10001539,"Chromcraft Rectangular Conference Tables",Furniture,Tables
FUR-TA-10003542,"Bevis 36 x 72 Conference Tables",Furniture,Tables
OFF-AP-10002892,"Belkin F5C206VTEL 6 Outlet Surge","Office Supplies",Appliances
OFF-AR-10002833,"Newell 322","Office Supplies",Art
OFF-BI-10000756,"Avery 504","Office Supplies",Binders
OFF-BI-10003910,"DXL Angle-View Binders with Locking Rings","Office Supplies",Binders
OFF-BI-10004738,"GBC DocuBind P400 Electric Binding System","Office Supplies",Binders
OFF-EN-10001509,"Staple envelope","Office Supplies",Envelopes
OFF-FA-10000304,"Fiskars 8" Scissors","Office Supplies",Fasteners
OFF-LA-10000240,"Self-Adhesive Address Labels","Office Supplies",Labels
OFF-LA-10002762,"Avery 506","Office Supplies",Labels
OFF-PA-10001569,"Xerox 1967","Office Supplies",Paper
OFF-PA-10003169,"Enermax Note Cards","Office Supplies",Paper
OFF-ST-10000760,"Eldon Fold-Up Mobile Desk Accessories","Office Supplies",Storage
OFF-ST-10004186,"Fellowes Super Stor/Drawer","Office Supplies",Storage
TEC-AC-10001227,"Logitech Wireless Combo MK270",Technology,Accessories
TEC-AC-10002167,"Belkin 7-Outlet Metallic Surge Strip",Technology,Accessories
TEC-AC-10003832,"Logitech G500s Laser Gaming Mouse",Technology,Accessories
TEC-CO-10001970,"Cisco TelePresence System EX90",Technology,Machines
TEC-CO-10004722,"Apple MacBook Pro 15"",Technology,Machines
TEC-PH-10001530,"Plantronics CS510",Technology,Phones
TEC-PH-10002275,"Mitel 5320 IP Phone VoIP phone",Technology,Phones
TEC-PH-10004093,"Konftel 250 Conference phone",Technology,Phones
